"","Metric","Mean","SD","Low","High"
"1","AIC",78460.96,587.66,77194.41,79484.36
"2","BIC",78563.71,587.66,77297.16,79587.1
"3","sBIC",78651.14,587.66,77384.59,79674.54
"4","Entropy",0.69,0.01,0.67,0.71
"5","Accuracy",0.91,0,0.9,0.92
"6","Recall",0.91,0.01,0.9,0.93
"7","Precision",0.92,0.01,0.91,0.93
"8","AUC",0.97,0,0.97,0.97
